central_pressurec2,central_energy_densityc2,central_baryon_density,central_cs2c2,M,R,Lambda,I,Mb
1.000000000000000000e+11,3.871733435964520312e+13,3.851351604834246094e+13,3.861863411702771368e-03,5.877457337299930584e-01,1.040297790959323720e+03,1.612477999730763086e+13,6.457716678623644384e+02,5.952681320686269428e-01
1.103710654763490906e+11,4.137532961910829688e+13,4.115048662774265625e+13,3.965708588030089111e-03,5.887620175467418449e-01,1.074616166581263542e+03,2.398748093854074219e+13,6.979377066385900434e+02,5.962942604052882123e-01
1.218177209438453827e+11,4.421458356751029688e+13,4.396642042788850781e+13,4.102107016027360664e-03,5.895573309139117146e-01,1.110993512232132389e+03,2.345784072988916406e+13,7.561471017030385156e+02,5.970958063146946104e-01
1.344515165447278137e+11,4.723965923328520312e+13,4.696583638529026562e+13,4.249064940194648143e-03,5.907380043788500457e-01,1.150649189019909500e+03,3.066798236059909766e+13,8.237354977082085270e+02,5.982889164820387462e-01
1.483955713595258789e+11,5.045968493080403906e+13,5.015765500432171094e+13,4.410441718742902188e-03,5.919830752948973540e-01,1.194422017540711977e+03,4.131541166629003906e+13,9.030914571396494921e+02,5.995458234845486567e-01
1.637857732292249756e+11,5.388367284276689062e+13,5.355066730213772656e+13,4.580237656345060790e-03,5.935121429466518883e-01,1.242512468756865928e+03,6.140649597598025000e+13,9.971414026718175592e+02,6.010910486135319086e-01
1.807721030117729187e+11,5.751968614797835156e+13,5.715270977337183594e+13,4.762477370244157585e-03,5.950394598906921795e-01,1.295125378950325967e+03,4.910425741136769531e+13,1.107197526623992644e+03,6.026342548131752297e-01
1.995200961780971069e+11,6.137814836764853125e+13,6.097394149313759375e+13,4.954162694306226029e-03,5.970028690501912871e-01,1.353769266197317620e+03,1.064053992462559531e+14,1.240065054893973866e+03,6.046196581850546981e-01
2.202124559912022400e+11,6.547388219463928125e+13,6.502885868012708594e+13,5.147825971903980009e-03,5.987630429810751886e-01,1.418264300756562079e+03,2.132916482302169062e+14,1.396679246864834568e+03,6.063978168831298809e-01
2.430508339891262512e+11,6.982717201312144531e+13,6.933733981310435938e+13,5.343205778127202606e-03,6.012137455727770696e-01,1.493447086540891405e+03,1.135402208745976719e+14,1.598734226201682304e+03,6.088776209290571728e-01
2.682577951229510803e+11,7.445392557936090625e+13,7.391490339615176562e+13,5.557948850867034003e-03,6.038356032045754107e-01,1.576595138531990187e+03,1.097893289689962344e+14,1.845703229994821186e+03,6.115298766843063616e-01
2.818252936741671143e+11,7.686729880011282812e+13,7.630198083442093750e+13,5.684226770647296534e-03,6.052297570001431426e-01,1.622389122371442681e+03,1.368177542861558594e+14,1.992329266816743257e+03,6.129406724678163609e-01
2.960789867005627441e+11,7.934613723127987500e+13,7.875338997870454688e+13,5.830593500533278253e-03,6.065431610159622844e-01,1.671346137966781725e+03,2.907828247492020625e+14,2.154941051526325282e+03,6.142681694242316803e-01
3.110535794100280762e+11,8.187595155330442188e+13,8.125472486456548438e+13,6.004071372108207676e-03,6.081603547273177757e-01,1.723379912641175451e+03,6.837064326257571250e+14,2.342282983251012411e+03,6.159041897001952259e-01
3.267855322729890137e+11,8.445805068657467188e+13,8.380731383205010938e+13,6.208815259075133215e-03,6.096383078933889088e-01,1.780000630635303196e+03,1.094427734815395250e+15,2.553911634439714817e+03,6.173997337428320797e-01
3.288071652950894165e+11,8.478161442546868750e+13,8.412713640118539062e+13,6.237753463822034994e-03,6.098499980908864693e-01,1.787652895519080630e+03,3.503649639023970625e+14,2.584308826361902902e+03,6.176140003470891315e-01
3.308413049910551147e+11,8.510494226414476562e+13,8.444671422151967188e+13,6.267577666560431721e-03,6.100570869083398184e-01,1.794758441758891195e+03,9.672448192843628000e+15,2.612912652982239251e+03,6.178233056252492306e-01
3.328880287324414673e+11,8.543027034509314062e+13,8.476826908493242188e+13,6.297586374385984870e-03,6.099847160997087236e-01,1.801396402002591230e+03,inf,2.635533317781084861e+03,6.177494994646981485e-01
3.349474143694567871e+11,8.575761104265551562e+13,8.509181322224529688e+13,6.327780728724921415e-03,6.101457369863454439e-01,1.809225732045083760e+03,1.539194256120476875e+14,2.665953506847797598e+03,6.179131379272109204e-01
3.370195402339236450e+11,8.608697680772642188e+13,8.541735893994500000e+13,6.358161878064812027e-03,6.105058600100571331e-01,1.817781631313497655e+03,4.116198140943335000e+14,2.705212813520846339e+03,6.182770304928119076e-01
3.391044851422583008e+11,8.641430970422704688e+13,8.574087617113284375e+13,6.389843442998174687e-03,6.106322392113289199e-01,1.825077429038575247e+03,3.982993317893566875e+14,2.730103086642662220e+03,6.184047508216462541e-01
3.412023283984684448e+11,8.673917604087303125e+13,8.606193414990798438e+13,6.422948559945190414e-03,6.109352234167019224e-01,1.832435286176622867e+03,1.772155699867948438e+14,2.761778867319635992e+03,6.187121935690179653e-01
